TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
OKC,OKC vs. ATL,11/6/2023,W,48,126,45,94,47.9,14,35,40,22,23,95.7,11,38,49,27,13,7,7,22,9
LAL,LAL @ MIA,11/6/2023,L,48,107,44,81,54.3,8,26,30.8,11,14,78.6,5,33,38,28,17,6,5,17,-1
LAC,LAC @ BKN,11/8/2023,L,48,93,36,91,39.6,8,36,22.2,13,13,100,11,40,51,22,16,10,8,15,-7
OKC,OKC vs. CLE,11/8/2023,W,48,128,44,86,51.2,12,28,42.9,28,30,93.3,12,29,41,23,14,10,8,27,8
SAC,SAC vs. POR,11/8/2023,W,53,121,41,89,46.1,11,37,29.7,28,38,73.7,15,35,50,32,21,11,6,24,3
DAL,DAL vs. TOR,11/8/2023,L,48,116,40,84,47.6,17,41,41.5,19,31,61.3,6,32,38,25,16,4,6,21,-11
DEN,DEN vs. GSW,11/8/2023,W,48,108,41,92,44.6,11,35,31.4,15,22,68.2,10,35,45,24,6,7,4,20,3
PHI,PHI vs. BOS,11/8/2023,W,48,106,42,95,44.2,9,34,26.5,13,15,86.7,12,44,56,20,14,7,7,16,3
BKN,BKN vs. LAC,11/8/2023,W,48,100,37,92,40.2,15,41,36.6,11,13,84.6,14,35,49,22,14,10,10,14,7
MIA,MIA @ MEM,11/8/2023,W,48,108,35,77,45.5,11,28,39.3,27,32,84.4,9,35,44,22,19,9,8,24,6
MIL,MIL vs. DET,11/8/2023,W,48,120,41,90,45.6,11,37,29.7,27,32,84.4,5,31,36,19,10,8,7,18,2
CLE,CLE @ OKC,11/8/2023,L,48,120,42,83,50.6,9,29,31,27,37,73,11,30,41,26,20,9,5,24,-8
PHX,PHX @ CHI,11/8/2023,W,53,116,38,90,42.2,19,48,39.6,21,25,84,13,41,54,32,22,7,10,20,1
MEM,MEM vs. MIA,11/8/2023,L,48,102,35,90,38.9,11,37,29.7,21,28,75,13,25,38,20,14,10,4,27,-6
TOR,TOR @ DAL,11/8/2023,W,48,127,49,99,49.5,11,36,30.6,18,27,66.7,15,35,50,27,12,10,4,25,11
HOU,HOU vs. LAL,11/8/2023,W,48,128,51,93,54.8,14,33,42.4,12,19,63.2,14,43,57,26,13,4,3,23,34
LAL,LAL @ HOU,11/8/2023,L,48,94,36,84,42.9,7,25,28,15,24,62.5,5,29,34,20,9,7,6,18,-34
BOS,BOS @ PHI,11/8/2023,L,48,103,36,91,39.6,15,47,31.9,16,19,84.2,9,34,43,28,13,8,6,13,-3
POR,POR @ SAC,11/8/2023,L,53,118,44,87,50.6,8,22,36.4,22,29,75.9,7,29,36,26,18,10,5,29,-3
CHA,CHA vs. WAS,11/8/2023,L,48,116,41,79,51.9,8,25,32,26,35,74.3,11,36,47,17,22,8,5,22,-16
UTA,UTA @ IND,11/8/2023,L,48,118,45,96,46.9,11,27,40.7,17,18,94.4,16,31,47,26,22,3,5,17,-16
WAS,WAS @ CHA,11/8/2023,W,48,132,47,97,48.5,18,43,41.9,20,25,80,13,27,40,26,11,10,6,26,16
GSW,GSW @ DEN,11/8/2023,L,48,105,37,86,43,11,35,31.4,20,26,76.9,11,38,49,21,9,5,0,20,-3
NYK,NYK vs. SAS,11/8/2023,W,48,126,46,100,46,19,42,45.2,15,22,68.2,13,34,47,28,4,7,0,14,21
CHI,CHI vs. PHX,11/8/2023,L,53,115,42,96,43.8,14,33,42.4,17,23,73.9,9,30,39,30,14,12,7,22,-1
IND,IND vs. UTA,11/8/2023,W,48,134,52,101,51.5,13,41,31.7,17,20,85,14,32,46,26,12,14,7,15,16
MIN,MIN vs. NOP,11/8/2023,W,48,122,45,82,54.9,15,37,40.5,17,24,70.8,8,40,48,30,18,9,7,23,21
SAS,SAS @ NYK,11/8/2023,L,48,105,44,90,48.9,9,34,26.5,8,13,61.5,11,35,46,31,13,2,7,22,-21
NOP,NOP @ MIN,11/8/2023,L,48,101,36,93,38.7,8,28,28.6,21,22,95.5,11,29,40,23,17,6,1,23,-21
DET,DET @ MIL,11/8/2023,L,48,118,48,98,49,7,29,24.1,15,16,93.8,11,42,53,28,19,2,5,24,-2
ORL,ORL vs. ATL,11/9/2023,L,48,119,42,90,46.7,10,27,37,25,35,71.4,18,29,47,19,19,12,6,24,-1
MIL,MIL @ IND,11/9/2023,L,48,124,46,87,52.9,9,27,33.3,23,26,88.5,5,36,41,23,14,6,5,19,-2
ATL,ATL @ ORL,11/9/2023,W,48,120,41,85,48.2,15,39,38.5,23,30,76.7,8,28,36,22,18,13,7,25,1
IND,IND vs. MIL,11/9/2023,W,48,126,44,92,47.8,20,48,41.7,18,20,90,9,31,40,27,13,6,6,25,2
PHI,PHI @ DET,11/10/2023,W,48,114,35,83,42.2,9,28,32.1,35,41,85.4,11,35,46,23,9,13,5,23,8
BKN,BKN @ BOS,11/10/2023,L,48,107,38,85,44.7,15,37,40.5,16,18,88.9,9,37,46,26,12,0,3,25,-14
MEM,MEM vs. UTA,11/10/2023,L,48,121,46,101,45.5,19,48,39.6,10,13,76.9,14,23,37,23,11,5,5,23,-6
BOS,BOS vs. BKN,11/10/2023,W,48,121,41,94,43.6,19,52,36.5,20,28,71.4,17,35,52,29,8,5,3,13,14
HOU,HOU vs. NOP,11/10/2023,W,48,104,36,88,40.9,10,35,28.6,22,28,78.6,9,33,42,20,9,9,5,22,3
SAC,SAC vs. OKC,11/10/2023,W,48,105,38,91,41.8,13,47,27.7,16,21,76.2,16,36,52,28,18,10,9,22,7
DET,DET vs. PHI,11/10/2023,L,48,106,40,86,46.5,8,28,28.6,18,22,81.8,11,37,48,28,17,3,5,26,-8
MIN,MIN @ SAS,11/10/2023,W,48,117,43,87,49.4,10,27,37,21,27,77.8,13,38,51,23,18,6,4,19,7
DAL,DAL vs. LAC,11/10/2023,W,48,144,51,98,52,19,42,45.2,23,26,88.5,15,26,41,30,9,7,1,23,18
SAS,SAS vs. MIN,11/10/2023,L,48,110,43,92,46.7,12,34,35.3,12,19,63.2,7,31,38,29,14,9,8,21,-7
LAL,LAL @ PHX,11/10/2023,W,48,122,42,84,50,12,27,44.4,26,34,76.5,9,34,43,27,11,9,7,20,3
CHA,CHA @ WAS,11/10/2023,W,48,124,50,110,45.5,6,28,21.4,18,28,64.3,28,39,67,31,10,10,4,19,7
OKC,OKC @ SAC,11/10/2023,L,48,98,39,87,44.8,7,30,23.3,13,16,81.3,5,33,38,22,16,9,5,15,-7
UTA,UTA @ MEM,11/10/2023,W,48,127,41,76,53.9,18,37,48.6,27,29,93.1,8,30,38,28,21,10,12,17,6
WAS,WAS vs. CHA,11/10/2023,L,48,117,43,88,48.9,14,38,36.8,17,20,85,7,29,36,28,15,4,6,23,-7
PHX,PHX vs. LAL,11/10/2023,L,48,119,42,94,44.7,15,37,40.5,20,27,74.1,17,35,52,22,13,9,1,24,-3
NOP,NOP @ HOU,11/10/2023,L,48,101,34,75,45.3,8,25,32,25,34,73.5,8,41,49,12,18,6,6,26,-3
LAC,LAC @ DAL,11/10/2023,L,48,126,43,88,48.9,8,27,29.6,32,36,88.9,19,28,47,21,14,7,2,27,-18
MIA,MIA @ ATL,11/11/2023,W,48,117,41,84,48.8,12,38,31.6,23,25,92,7,32,39,23,15,10,4,14,8
CLE,CLE @ GSW,11/11/2023,W,48,118,37,86,43,11,30,36.7,33,42,78.6,11,34,45,23,11,13,3,24,8
BOS,BOS vs. TOR,11/11/2023,W,48,117,47,86,54.7,15,44,34.1,8,13,61.5,5,41,46,30,13,1,4,14,23
MIL,MIL @ ORL,11/11/2023,L,48,97,38,77,49.4,9,29,31,12,25,48,5,31,36,25,19,9,6,24,-15
TOR,TOR @ BOS,11/11/2023,L,48,94,35,91,38.5,10,37,27,14,16,87.5,7,30,37,25,9,8,1,14,-23
ATL,ATL vs. MIA,11/11/2023,L,48,109,38,87,43.7,18,46,39.1,15,18,83.3,15,33,48,23,22,6,6,19,-8
GSW,GSW vs. CLE,11/11/2023,L,48,110,37,90,41.1,13,38,34.2,23,30,76.7,15,40,55,26,20,5,3,29,-8
ORL,ORL vs. MIL,11/11/2023,W,48,112,36,84,42.9,10,26,38.5,30,35,85.7,15,28,43,24,16,9,2,17,15
PHX,PHX vs. OKC,11/12/2023,L,48,99,32,83,38.6,9,29,31,26,31,83.9,16,35,51,20,17,4,7,19,-12
SAS,SAS vs. MIA,11/12/2023,L,48,113,42,91,46.2,19,44,43.2,10,12,83.3,11,39,50,35,17,3,6,21,-5
DET,DET @ CHI,11/12/2023,L,48,108,38,88,43.2,11,32,34.4,21,26,80.8,16,33,49,26,16,4,6,19,-11
POR,POR @ LAL,11/12/2023,L,48,110,45,90,50,13,37,35.1,7,9,77.8,5,33,38,29,16,2,8,25,-6
LAC,LAC vs. MEM,11/12/2023,L,48,101,37,85,43.5,12,34,35.3,15,23,65.2,8,33,41,26,16,9,3,23,-4
IND,IND @ PHI,11/12/2023,L,48,126,47,90,52.2,16,39,41,16,19,84.2,8,24,32,31,10,8,9,14,-11
OKC,OKC @ PHX,11/12/2023,W,48,111,40,82,48.8,10,27,37,21,25,84,6,27,33,23,9,9,8,21,12
GSW,GSW vs. MIN,11/12/2023,L,48,110,37,96,38.5,12,43,27.9,24,28,85.7,19,32,51,24,14,9,0,28,-6
NOP,NOP vs. DAL,11/12/2023,L,48,124,47,92,51.1,17,36,47.2,13,22,59.1,13,41,54,31,18,2,3,20,-12
DAL,DAL @ NOP,11/12/2023,W,48,136,50,102,49,20,53,37.7,16,21,76.2,8,34,42,29,6,7,6,19,12
LAL,LAL vs. POR,11/12/2023,W,48,116,41,84,48.8,4,19,21.1,30,37,81.1,7,34,41,27,9,8,4,11,6
MIN,MIN @ GSW,11/12/2023,W,48,116,43,82,52.4,9,27,33.3,21,30,70,9,38,47,27,14,8,6,19,6
BKN,BKN vs. WAS,11/12/2023,W,48,102,37,98,37.8,12,49,24.5,16,20,80,20,46,66,22,19,6,6,18,8
CHI,CHI vs. DET,11/12/2023,W,48,119,44,91,48.4,11,30,36.7,20,25,80,11,29,40,22,7,12,6,21,11
HOU,HOU vs. DEN,11/12/2023,W,48,107,37,87,42.5,10,32,31.3,23,29,79.3,12,33,45,20,9,7,4,16,3
NYK,NYK vs. CHA,11/12/2023,W,48,129,47,87,54,15,36,41.7,20,30,66.7,10,30,40,25,9,8,4,18,22
DEN,DEN @ HOU,11/12/2023,L,48,104,42,91,46.2,9,32,28.1,11,14,78.6,12,37,49,24,11,3,5,20,-3
CHA,CHA @ NYK,11/12/2023,L,48,107,44,94,46.8,12,35,34.3,7,11,63.6,15,21,36,21,12,5,4,25,-22
MIA,MIA @ SAS,11/12/2023,W,48,118,39,89,43.8,12,31,38.7,28,30,93.3,11,30,41,26,7,7,3,12,5
PHI,PHI vs. IND,11/12/2023,W,48,137,53,105,50.5,14,33,42.4,17,20,85,23,31,54,28,12,5,7,15,11
MEM,MEM @ LAC,11/12/2023,W,48,105,37,88,42,13,41,31.7,18,24,75,11,30,41,25,16,7,6,23,4
WAS,WAS @ BKN,11/12/2023,L,48,94,33,88,37.5,10,41,24.4,18,25,72,7,35,42,20,12,14,3,15,-8
MIL,MIL vs. CHI,11/13/2023,W,48,118,42,89,47.2,15,47,31.9,19,27,70.4,13,40,53,23,17,3,5,23,9
NYK,NYK @ BOS,11/13/2023,L,48,98,33,79,41.8,15,35,42.9,17,24,70.8,12,25,37,17,12,5,2,16,-16
BOS,BOS vs. NYK,11/13/2023,W,48,114,40,79,50.6,19,43,44.2,15,16,93.8,8,29,37,27,11,3,3,22,16
CLE,CLE @ SAC,11/13/2023,L,48,120,45,91,49.5,16,35,45.7,14,17,82.4,14,25,39,24,11,3,1,18,-12
TOR,TOR vs. WAS,11/13/2023,W,48,111,45,90,50,4,20,20,17,25,68,16,32,48,28,19,11,4,13,4
SAC,SAC vs. CLE,11/13/2023,W,48,132,49,83,59,20,42,47.6,14,22,63.6,8,29,37,32,10,3,4,19,12
WAS,WAS @ TOR,11/13/2023,L,48,107,43,84,51.2,12,26,46.2,9,12,75,8,30,38,32,22,11,5,22,-4
CHI,CHI @ MIL,11/13/2023,L,48,109,38,100,38,14,42,33.3,19,21,90.5,18,29,47,24,8,9,7,25,-9
